CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 1;false;1;1000;1;1023.28;-1.#INF;68;2;-1.07374e+008;17;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 1;false;1;1000;1;1023.28;-1.#INF;94;5;-1.07374e+008;50765;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 1;false;1;1000;1;1023.28;-1.#INF;94;5;-1.07374e+008;164;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 1;false;1;1000;1;1023.28;-1.#INF;94;5;-1.07374e+008;50;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
100;0; 0;0;2D;Random; 1;false;1;1000;1;1023.28;-1.#INF;94;5;-1.07374e+008;169;
CLOUD SIZE;sizeX; sizeY; sizeZ;2D/3D;FILE;H;PREPROC;NGB;NGP_PAR;GOALS; dist(start-goal);Q_MEAN_SIZE;Q_OPEN;Q_CLOSE;PATH SIZE;EXEC TIME;
